Authors,Publication_year,Title,Publication_page_link,Authors_profile_page_link
Dang Q,3 Apr 2023,'Nordic added value’: a floating signifier and a mechanism for Nordic higher education regionalism,https://pureportal.coventry.ac.uk/en/publications/nordic-added-value-a-floating-signifier-and-a-mechanism-for-nordi,['https://pureportal.coventry.ac.uk/en/persons/que-anh-dang']
Karakus M,5 Jul 2023,Obituary for Zoltán Dörnyei (1960–2022): a bibliometric mapping of his publications,https://pureportal.coventry.ac.uk/en/publications/obituary-for-zolt%C3%A1n-d%C3%B6rnyei-19602022-a-bibliometric-mapping-of-hi,['https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus']
Gilbert H J Lawson D Hodds M,19 Mar 2023,Post-pandemic online mathematics and statistics support: Practitioners’ opinions in Germany and Great Britain & Ireland,https://pureportal.coventry.ac.uk/en/publications/post-pandemic-online-mathematics-and-statistics-support-practitio,"['https://pureportal.coventry.ac.uk/en/persons/holly-jade-gilbert', 'https://pureportal.coventry.ac.uk/en/persons/duncan-lawson', 'https://pureportal.coventry.ac.uk/en/persons/mark-hodds']"
Fero K,26 May 2023,Resistant Imagery in Struggles for Justice,https://pureportal.coventry.ac.uk/en/publications/resistant-imagery-in-struggles-for-justice,['https://pureportal.coventry.ac.uk/en/persons/ken-fero']
Wimpenny K Arnab S,2023,The engaged university: Exploring mutuality and reciprocity between and within communities inside and outside universities through ACES.,https://pureportal.coventry.ac.uk/en/publications/the-engaged-university-exploring-mutuality-and-reciprocity-betwee,"['https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny', 'https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab']"
Hodds M,18 Jan 2023,The impact of Covid-19 on mathematical entry competencies: 1 year on,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-covid-19-on-mathematical-entry-competencies-1-year-,['https://pureportal.coventry.ac.uk/en/persons/mark-hodds']
Karakus M,27 May 2023,"The role of teacher selection criteria and preparation on teacher self-efficacy, satisfaction, and commitment: An analysis of Kazakhstani TALIS data",https://pureportal.coventry.ac.uk/en/publications/the-role-of-teacher-selection-criteria-and-preparation-on-teacher,['https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus']
Karakus M,26 Feb 2023,Throwing light on fee-charging tutoring during the global pandemic in Kazakhstan: implications for the future of higher education,https://pureportal.coventry.ac.uk/en/publications/throwing-light-on-fee-charging-tutoring-during-the-global-pandemi,['https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus']
Karakus M,23 Jun 2023,Transformational school leadership: a systematic review of research in a centralized education system,https://pureportal.coventry.ac.uk/en/publications/transformational-school-leadership-a-systematic-review-of-researc,['https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus']
Karakus M,May 2023,Understanding the Academic Achievement of the First- and Second-Generation Immigrant Students: A Multi-level Analysis of PISA 2018 Data,https://pureportal.coventry.ac.uk/en/publications/understanding-the-academic-achievement-of-the-first-and-second-ge,['https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus']
Johnson E,1 Jun 2023,What does it Mean to be Educated in Nigerian Student Experience?,https://pureportal.coventry.ac.uk/en/publications/what-does-it-mean-to-be-educated-in-nigerian-student-experience,['https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson']
Morini L,Dec 2022,75 Years of Scouting/Guiding Activities in Pakistan - Celebrating the Shared British Heritage of Active Citizenship,https://pureportal.coventry.ac.uk/en/publications/75-years-of-scoutingguiding-activities-in-pakistan-celebrating-th,['https://pureportal.coventry.ac.uk/en/persons/luca-morini']
Karakus M,Jun 2022,"A bibliometric mapping of shadow education research: achievements, limitations, and the future",https://pureportal.coventry.ac.uk/en/publications/a-bibliometric-mapping-of-shadow-education-research-achievements-,['https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus']
Wimpenny K Arnab S,6 Sept 2022,ACES - A Community-centred Educational Model for Developing Social Resilience,https://pureportal.coventry.ac.uk/en/publications/aces-a-community-centred-educational-model-for-developing-social-,"['https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny', 'https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab']"
Fero K,15 Jun 2022,"After Carlo Giuliani, After Joy Gardner, After George Floyd – collective memory and radical film'.",https://pureportal.coventry.ac.uk/en/publications/after-carlo-giuliani-after-joy-gardner-after-george-floyd-collect,['https://pureportal.coventry.ac.uk/en/persons/ken-fero']
Khashab B Ayoubi R,24 Nov 2022,Analysing enterprise resources for developing CRM framework in higher education institutions,https://pureportal.coventry.ac.uk/en/publications/analysing-enterprise-resources-for-developing-crm-framework-in-hi,"['https://pureportal.coventry.ac.uk/en/persons/basel-khashab', 'https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi']"
Orsini-Jones M,May 2022,A ‘Glocal’  Community of Practice to Support International ELT (English Language Teaching) Students in the UK: Project BMELTET ,https://pureportal.coventry.ac.uk/en/publications/a-glocal-community-of-practice-to-support-international-elt-engli,['https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones']
Morini L,24 May 2022,Being All Over the Place and Pulling Oneself Together,https://pureportal.coventry.ac.uk/en/publications/being-all-over-the-place-and-pulling-oneself-together,['https://pureportal.coventry.ac.uk/en/persons/luca-morini']
Rodrigues Amorim Adegboye A Stuart K Rehling T Gilkes G Carroll J Kneafsey R,4 Oct 2022,Being there in a crisis: increasing access to the paramedic profession for BME communities,https://pureportal.coventry.ac.uk/en/publications/being-there-in-a-crisis-increasing-access-to-the-paramedic-profes,"['https://pureportal.coventry.ac.uk/en/persons/amanda-r-a-adegboye', 'https://pureportal.coventry.ac.uk/en/persons/kim-stuart', 'https://pureportal.coventry.ac.uk/en/persons/tracey-rehling', 'https://pureportal.coventry.ac.uk/en/persons/gary-gilkes', 'https://pureportal.coventry.ac.uk/en/persons/julia-carroll', 'https://pureportal.coventry.ac.uk/en/persons/rosie-kneafsey']"
Hodds M Lawson D,1 Jun 2022,Changes in student entry competencies 2001 - 2017,https://pureportal.coventry.ac.uk/en/publications/changes-in-student-entry-competencies-2001-2017,"['https://pureportal.coventry.ac.uk/en/persons/mark-hodds', 'https://pureportal.coventry.ac.uk/en/persons/duncan-lawson']"
Morini L,30 Dec 2022,Critical digital literacy as a key for (post)digital citizenship: an international review of teacher competence frameworks,https://pureportal.coventry.ac.uk/en/publications/critical-digital-literacy-as-a-key-for-postdigital-citizenship-an,['https://pureportal.coventry.ac.uk/en/persons/luca-morini']
Wimpenny K,10 Nov 2022,Curriculum Internationalization and the ‘Decolonizing Academic’,https://pureportal.coventry.ac.uk/en/publications/curriculum-internationalization-and-the-decolonizing-academic,['https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny']
Clouder L,2 Dec 2022,Development of autonomy on placement: perceptions of physiotherapy students and educators in Australia and the United Kingdom,https://pureportal.coventry.ac.uk/en/publications/development-of-autonomy-on-placement-perceptions-of-physiotherapy,['https://pureportal.coventry.ac.uk/en/persons/deanne-clouder']
Wimpenny K Dang Q Morini L,16 Mar 2022,Doctorate Supervision in Virtual Borderland Spaces,https://pureportal.coventry.ac.uk/en/publications/doctorate-supervision-in-virtual-borderland-spaces,"['https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny', 'https://pureportal.coventry.ac.uk/en/persons/que-anh-dang', 'https://pureportal.coventry.ac.uk/en/persons/luca-morini']"
Ayoubi R,11 May 2022,"Do governmental institutions’ readiness Influence citizens’ acceptance of e-services? Technology task fit, system quality, and facilitating conditions as antecedents",https://pureportal.coventry.ac.uk/en/publications/do-governmental-institutions-readiness-influence-citizens-accepta,['https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi']
Hodds M,25 Mar 2022,Editorial: CETL-MSOR Conference Special Issue 1: Responding to the COVID-19 pandemic,https://pureportal.coventry.ac.uk/en/publications/editorial-cetl-msor-conference-special-issue-1-responding-to-the-,['https://pureportal.coventry.ac.uk/en/persons/mark-hodds']
Hodds M,12 May 2022,"Editorial: CETL-MSOR Conference Special Issue 2: Innovations in teaching, learning, assessment and support",https://pureportal.coventry.ac.uk/en/publications/editorial-cetl-msor-conference-special-issue-2-innovations-in-tea,['https://pureportal.coventry.ac.uk/en/persons/mark-hodds']
Clouder L Bluteau P,2 Jan 2022,Education for Integrated Working – A Qualitative Research Study Exploring and Contextualizing how Practitioners Learn in Practice,https://pureportal.coventry.ac.uk/en/publications/education-for-integrated-working-a-qualitative-research-study-exp,"['https://pureportal.coventry.ac.uk/en/persons/deanne-clouder', 'https://pureportal.coventry.ac.uk/en/persons/patricia-bluteau']"
,17 Mar 2022,Emotional Intelligence: its importance to HE professional services team members during challenging times,https://pureportal.coventry.ac.uk/en/publications/emotional-intelligence-its-importance-to-he-professional-services,[]
Price C,30 Oct 2022,"Evaluation of the ThinkHigher Uni Connect Programme Coventry and Warwickshire, in Year 10 students",https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-thinkhigher-uni-connect-programme-coventry-and-,['https://pureportal.coventry.ac.uk/en/persons/charlotte-price']
Price C,30 Oct 2022,"Evaluation of the ThinkHigher Uni Connect Programme Coventry and Warwickshire, in Year 12 students",https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-thinkhigher-uni-connect-programme-coventry-and--2,['https://pureportal.coventry.ac.uk/en/persons/charlotte-price']
Wimpenny K,3 Jan 2022,Exploring Students' Experiences in Occupational Therapy Education: A Phenomenological Study of Professional Identity Development,https://pureportal.coventry.ac.uk/en/publications/exploring-students-experiences-in-occupational-therapy-education-,['https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny']
Hasri E Ayoubi R Mohiuddin Babu M Ferreira J,11 May 2022,Exploring the factors that impacts the self-directed learning of academic staff in universities,https://pureportal.coventry.ac.uk/en/publications/exploring-the-factors-that-impacts-the-self-directed-learning-of-,"['https://pureportal.coventry.ac.uk/en/persons/eddie-hasri', 'https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi', 'https://pureportal.coventry.ac.uk/en/persons/mujahid-mohiuddin-babu', 'https://pureportal.coventry.ac.uk/en/persons/jennifer-ferreira']"
Fero K,6 Mar 2022,Exposed: Nursing Narratives – Racism and the Pandemic,https://pureportal.coventry.ac.uk/en/publications/exposed-nursing-narratives-racism-and-the-pandemic,['https://pureportal.coventry.ac.uk/en/persons/ken-fero']
Grawemeyer B Halloran J England M,6 Jan 2022,Feedback and Engagement on an Introductory Programming Module,https://pureportal.coventry.ac.uk/en/publications/feedback-and-engagement-on-an-introductory-programming-module,"['https://pureportal.coventry.ac.uk/en/persons/beate-grawemeyer', 'https://pureportal.coventry.ac.uk/en/persons/john-halloran', 'https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
Jacobo J,1 Jan 2022,Figures of a Gender Now Upon Us: The Transfeminine in Contemporary Queer Fiction from the Philippines,https://pureportal.coventry.ac.uk/en/publications/figures-of-a-gender-now-upon-us-the-transfeminine-in-contemporary,['https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo']
Wimpenny K,2022,Foreword by Prof. Katherine Wimpenny,https://pureportal.coventry.ac.uk/en/publications/foreword-by-prof-katherine-wimpenny,['https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny']
Ayoubi R Kamal M M,1 Mar 2022,Gamified flipped classroom versus traditional classroom learning: Which approach is more efficient in business education?,https://pureportal.coventry.ac.uk/en/publications/gamified-flipped-classroom-versus-traditional-classroom-learning-,"['https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi', 'https://pureportal.coventry.ac.uk/en/persons/muhammad-mustafa-kamal']"
Wimpenny K,6 Sept 2022,"Global Citizenship Education and Sustainability: overcoming contradictions, tensions, rhetoric, and ‘flaws’: Global Citizenship and Borderland Learning ",https://pureportal.coventry.ac.uk/en/publications/global-citizenship-education-and-sustainability-overcoming-contra,['https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny']
Dang Q DeWinter A Morini L Wimpenny K,2022,Global Learning and Assessment; How can global citizenship-oriented curricula enhance teaching training?,https://pureportal.coventry.ac.uk/en/publications/global-learning-and-assessment-how-can-global-citizenship-oriente,"['https://pureportal.coventry.ac.uk/en/persons/que-anh-dang', 'https://pureportal.coventry.ac.uk/en/persons/alun-dewinter', 'https://pureportal.coventry.ac.uk/en/persons/luca-morini', 'https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny']"
Morini L,27 May 2022,Higher education decolonisation: #Whose voices and their geographical locations?,https://pureportal.coventry.ac.uk/en/publications/higher-education-decolonisation-whose-voices-and-their-geographic,['https://pureportal.coventry.ac.uk/en/persons/luca-morini']
,Apr 2022,"Identifying service users' experience of the education, health and care plan process: A systematic literature review",https://pureportal.coventry.ac.uk/en/publications/identifying-service-users-experience-of-the-education-health-and-,[]
Alsop S Oxford S W,21 Dec 2022,Intra and Inter-Rater Reliability of a Novel Isometric Test of Neck Strength,https://pureportal.coventry.ac.uk/en/publications/intra-and-inter-rater-reliability-of-a-novel-isometric-test-of-ne,"['https://pureportal.coventry.ac.uk/en/persons/sian-alsop', 'https://pureportal.coventry.ac.uk/en/persons/sam-oxford']"
,10 May 2022,Investigating Cultures of Equality,https://pureportal.coventry.ac.uk/en/publications/investigating-cultures-of-equality,[]
Wimpenny K Orsini-Jones M,May 2022,"Knowing, Being, Relating and Expressing through Third Space Global South-North COIL: Digital Inclusion and Equity in International Higher Education",https://pureportal.coventry.ac.uk/en/publications/knowing-being-relating-and-expressing-through-third-space-global-,"['https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny', 'https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones']"
Crawford M,7 Jun 2022,Local Authorities as actors in the emerging ‘school-led’ system in England,https://pureportal.coventry.ac.uk/en/publications/local-authorities-as-actors-in-the-emerging-school-led-system-in-,['https://pureportal.coventry.ac.uk/en/persons/megan-crawford']
Clouder L Karakus M,22 Mar 2022,Neurodiversidad en la Educación Superior: la experiencia de los estudiantes ,https://pureportal.coventry.ac.uk/en/publications/neurodiversidad-en-la-educaci%C3%B3n-superior-la-experiencia-de-los-es,"['https://pureportal.coventry.ac.uk/en/persons/deanne-clouder', 'https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus']"
Karakus M Clouder D L,6 Oct 2022,Nurturing a Climate of Innovation in a Didactic Educational System: A Case Study Exploring Leadership in Private Schools in Turkey,https://pureportal.coventry.ac.uk/en/publications/nurturing-a-climate-of-innovation-in-a-didactic-educational-syste,"['https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus', 'https://pureportal.coventry.ac.uk/en/persons/deanne-clouder']"
Tramontano C Wright H,Apr 2022,Older Individuals Convicted of Sexual Offenses: A Literature Review,https://pureportal.coventry.ac.uk/en/publications/older-individuals-convicted-of-sexual-offenses-a-literature-revie,"['https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano', 'https://pureportal.coventry.ac.uk/en/persons/hayley-wright']"
Orsini-Jones M,4 Jun 2022,Out of the comfort zone: The Trouble With A Mooc-Virtual Exchange (Ve) Blend At The Time Of The Covid 19 Pandemic,https://pureportal.coventry.ac.uk/en/publications/out-of-the-comfort-zone-the-trouble-with-a-mooc-virtual-exchange-,['https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones']
Jacobo J,22 Nov 2022,Pedagogy of queer studies beyond empire,https://pureportal.coventry.ac.uk/en/publications/pedagogy-of-queer-studies-beyond-empire,['https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo']
,13 May 2022,Performing Cultures of Equality,https://pureportal.coventry.ac.uk/en/publications/performing-cultures-of-equality,[]
Morini L Chen Y-F Dawson M,2022,Playful Participatory Mapping – Co-creating Games to Foster Systems Thinking,https://pureportal.coventry.ac.uk/en/publications/playful-participatory-mapping-co-creating-games-to-foster-systems,"['https://pureportal.coventry.ac.uk/en/persons/luca-morini', 'https://pureportal.coventry.ac.uk/en/persons/yung-fang-chen', 'https://pureportal.coventry.ac.uk/en/persons/mark-dawson']"
Morini L,10 Oct 2022,Prendersi (il) gioco: la prospettiva della co-progettazione contro l’egemonia dei sistemi chiusi nei giochi educativi,https://pureportal.coventry.ac.uk/en/publications/prendersi-il-gioco-la-prospettiva-della-co-progettazione-contro-l,['https://pureportal.coventry.ac.uk/en/persons/luca-morini']
Crawford M,2 Jan 2022,"Principal, let’s talk about emotions: some lessons COVID-19 taught us about emergency situations and leadership",https://pureportal.coventry.ac.uk/en/publications/principal-lets-talk-about-emotions-some-lessons-covid-19-taught-u,['https://pureportal.coventry.ac.uk/en/persons/megan-crawford']
Morini L,1 Jan 2022,Questioning the Published: On the Unpublishability and (Therefore) the Importance of Invisible (Academic) Activism,https://pureportal.coventry.ac.uk/en/publications/questioning-the-published-on-the-unpublishability-and-therefore-t,['https://pureportal.coventry.ac.uk/en/persons/luca-morini']
Raven S,17 Mar 2022,Reimagining Qualitative Social Research Fieldwork to Move Online: Perceptions of Racism Among Physical Education Students,https://pureportal.coventry.ac.uk/en/publications/reimagining-qualitative-social-research-fieldwork-to-move-online-,['https://pureportal.coventry.ac.uk/en/persons/steve-raven']
,30 Sept 2022,Representation and diversity in the sign language translation and interpreting profession in the United Kingdom,https://pureportal.coventry.ac.uk/en/publications/representation-and-diversity-in-the-sign-language-translation-and,[]
Tramontano C,8 Mar 2022,"Self-efficacy in the Classroom: The Roles of Motivation, Positivity and Resilience",https://pureportal.coventry.ac.uk/en/publications/self-efficacy-in-the-classroom-the-roles-of-motivation-positivity,['https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano']
,Jun 2022,Sleep-disordered breathing and daytime sleepiness predict children’s reading ability,https://pureportal.coventry.ac.uk/en/publications/sleep-disordered-breathing-and-daytime-sleepiness-predict-childre,[]
,5 Apr 2022,Strategy and sustainability discourses in higher education partnership building between China and UK,https://pureportal.coventry.ac.uk/en/publications/strategy-and-sustainability-discourses-in-higher-education-partne,[]
Wimpenny K,13 Oct 2022,Students’ perceptions and experiences of translanguaging pedagogy in teaching English for academic purposes in China,https://pureportal.coventry.ac.uk/en/publications/students-perceptions-and-experiences-of-translanguaging-pedagogy-,['https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny']
Wimpenny K,6 Sept 2022,Taking COIL Virtual Exchange to Scale: 2004-2020,https://pureportal.coventry.ac.uk/en/publications/taking-coil-virtual-exchange-to-scale-2004-2020,['https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny']
,Aug 2022,Teacher–researcher partnership in the translation and implementing of PALS (Peer‐Assisted Learning Strategies): An international perspective,https://pureportal.coventry.ac.uk/en/publications/teacherresearcher-partnership-in-the-translation-and-implementing,[]
Lawson D,30 Jan 2022,"The development of mathematics support: teaching and learning practices, scholarship and communities",https://pureportal.coventry.ac.uk/en/publications/the-development-of-mathematics-support-teaching-and-learning-prac,['https://pureportal.coventry.ac.uk/en/persons/duncan-lawson']
Price C Owen A Lawson D,8 Apr 2022,The Impact of COVID-19 on Year 13 A level Mathematics Students: findings of a small-scale survey,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-covid-19-on-year-13-a-level-mathematics-students-fi,"['https://pureportal.coventry.ac.uk/en/persons/charlotte-price', 'https://pureportal.coventry.ac.uk/en/persons/alun-owen', 'https://pureportal.coventry.ac.uk/en/persons/duncan-lawson']"
Tramontano C,1 Jan 2022,The Implicit Component of Moral Disengagement: Applying the Relational Responding Task to Investigate Its Relationship With Cheating Behavior,https://pureportal.coventry.ac.uk/en/publications/the-implicit-component-of-moral-disengagement-applying-the-relati,['https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano']
Lawson D,2022,The importance of mathematics and statistics support in English universities: An analysis of institutionally-written regulatory documents,https://pureportal.coventry.ac.uk/en/publications/the-importance-of-mathematics-and-statistics-support-in-english-u,['https://pureportal.coventry.ac.uk/en/persons/duncan-lawson']
Karakus M,2 Aug 2022,The influence of ict use and related attitudes on students’ math and science performance: multilevel analyses of the last decade’s pisa surveys,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-ict-use-and-related-attitudes-on-students-math-a,['https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus']
Muhammad R R Lawson D Aslam F Crawford M,15 May 2022,The Scientific Approach of The Indonesian 2013 Curriculum: A Comparison with Other Active Learning Strategies in Mathematics,https://pureportal.coventry.ac.uk/en/publications/the-scientific-approach-of-the-indonesian-2013-curriculum-a-compa,"['https://pureportal.coventry.ac.uk/en/persons/rosida-rakhmawati-muhammad', 'https://pureportal.coventry.ac.uk/en/persons/duncan-lawson', 'https://pureportal.coventry.ac.uk/en/persons/farzana-aslam', 'https://pureportal.coventry.ac.uk/en/persons/megan-crawford']"
Ayoubi R Crawford M,2022,The student experiences of teaching and learning in transnational higher education: A phenomenographic study from a British-Qatari partnership,https://pureportal.coventry.ac.uk/en/publications/the-student-experiences-of-teaching-and-learning-in-transnational,"['https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi', 'https://pureportal.coventry.ac.uk/en/persons/megan-crawford']"
Morini L,10 Jun 2022,The University Colonised/Coloniser,https://pureportal.coventry.ac.uk/en/publications/the-university-colonisedcoloniser,['https://pureportal.coventry.ac.uk/en/persons/luca-morini']
Wimpenny K,2022,Using open education practices across the Mediterranean for intercultural curriculum development in higher education,https://pureportal.coventry.ac.uk/en/publications/using-open-education-practices-across-the-mediterranean-for-inter-2,['https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny']
Crawford M,7 Feb 2022,Walking with teachers: A study to explore the importance of teacher wellbeing and their careers,https://pureportal.coventry.ac.uk/en/publications/walking-with-teachers-a-study-to-explore-the-importance-of-teache,['https://pureportal.coventry.ac.uk/en/persons/megan-crawford']
,18 Feb 2022,"Women Construction Workers in Bangladesh: Health, Wellbeing, and Domestic Abuse during the COVID-19 Pandemic",https://pureportal.coventry.ac.uk/en/publications/women-construction-workers-in-bangladesh-health-wellbeing-and-dom,[]
Grant C Tramontano C,14 Feb 2022,“It needs to be the right blend”: a qualitative exploration of remote e-workers’ experience and well-being at work.”,https://pureportal.coventry.ac.uk/en/publications/it-needs-to-be-the-right-blend-a-qualitative-exploration-of-remot,"['https://pureportal.coventry.ac.uk/en/persons/christine-grant', 'https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano']"
Wimpenny K DeWinter A,12 Mar 2021,"Adapting a capacity-development-in-higher-education project: Doing, being and becoming virtual collaboration",https://pureportal.coventry.ac.uk/en/publications/adapting-a-capacity-development-in-higher-education-project-doing,"['https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny', 'https://pureportal.coventry.ac.uk/en/persons/alun-dewinter']"
Lawson D,19 Jan 2021,A history of the development of the mathematics and statistics support community in the United Kingdom.  Part 1: From alpha to sigma,https://pureportal.coventry.ac.uk/en/publications/a-history-of-the-development-of-the-mathematics-and-statistics-su,['https://pureportal.coventry.ac.uk/en/persons/duncan-lawson']
Crawford M,9 Dec 2021,"""Being"" a Head of Department in an English University",https://pureportal.coventry.ac.uk/en/publications/being-a-head-of-department-in-an-english-university,['https://pureportal.coventry.ac.uk/en/persons/megan-crawford']
Clouder L,2021,Borderlanders: Academic Staff being and becoming Doctoral Students,https://pureportal.coventry.ac.uk/en/publications/borderlanders-academic-staff-being-and-becoming-doctoral-students,['https://pureportal.coventry.ac.uk/en/persons/deanne-clouder']
DeWinter A,16 Aug 2021,"Can COIL be effective in using diversity to contribute to equality? Experiences of iKudu, a European-South African consortium operating via a decolonised approach to project delivery",https://pureportal.coventry.ac.uk/en/publications/can-coil-be-effective-in-using-diversity-to-contribute-to-equalit,['https://pureportal.coventry.ac.uk/en/persons/alun-dewinter']
Crawford M,2021,Conceptualising leadership and emotions in higher education: wellbeing as wholeness,https://pureportal.coventry.ac.uk/en/publications/conceptualising-leadership-and-emotions-in-higher-education-wellb,['https://pureportal.coventry.ac.uk/en/persons/megan-crawford']
Wimpenny K,16 Sept 2021,Critiquing Inclusive Pedagogies: Online conversations on Inclusive online pedagogies,https://pureportal.coventry.ac.uk/en/publications/critiquing-inclusive-pedagogies-online-conversations-on-inclusive,['https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny']
Morini L,9 Sept 2021,Decolonising Education – Fostering Conversations - Interim Project Report,https://pureportal.coventry.ac.uk/en/publications/decolonising-education-fostering-conversations-interim-project-re,['https://pureportal.coventry.ac.uk/en/persons/luca-morini']
Tramontano C Grant C,31 Jul 2021,Development and validation of the e-Work Self-Efficacy Scale to assess digital competencies in remote working,https://pureportal.coventry.ac.uk/en/publications/development-and-validation-of-the-e-work-self-efficacy-scale-to-a,"['https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano', 'https://pureportal.coventry.ac.uk/en/persons/christine-grant']"
